layer,head,mean,min,max,example_id,n_shots,prompt
0,0,0.0367748886346817,0.0,0.5488070249557495,521,2,"Is 4055 > 7546? Answer: No
Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer:"
0,1,0.030004607513546944,0.0,0.40390267968177795,521,2,"Is 4055 > 7546? Answer: No
Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer:"
0,2,0.04919926077127457,0.0,0.9987336993217468,521,2,"Is 4055 > 7546? Answer: No
Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer:"
0,3,0.04225311055779457,0.0,0.9999721050262451,521,2,"Is 4055 > 7546? Answer: No
Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer:"
0,4,0.03496786579489708,0.0,0.49064233899116516,521,2,"Is 4055 > 7546? Answer: No
Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer:"
0,5,0.04452062025666237,0.0,0.9965332746505737,521,2,"Is 4055 > 7546? Answer: No
Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer:"
0,6,0.02809189446270466,0.0,0.32913461327552795,521,2,"Is 4055 > 7546? Answer: No
Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer:"
0,7,0.04866885393857956,0.0,0.8671041131019592,521,2,"Is 4055 > 7546? Answer: No
Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer:"
1,0,0.02959960326552391,0.0,0.6664107441902161,521,2,"Is 4055 > 7546? Answer: No
Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer:"
1,1,0.04152877628803253,0.0,0.7551288604736328,521,2,"Is 4055 > 7546? Answer: No
Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer:"
1,2,0.018934180960059166,0.0,0.5997890830039978,521,2,"Is 4055 > 7546? Answer: No
Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer:"
1,3,0.02629072777926922,0.0,0.2806454598903656,521,2,"Is 4055 > 7546? Answer: No
Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer:"
1,4,0.04592713341116905,0.0,0.35236671566963196,521,2,"Is 4055 > 7546? Answer: No
Is 9115 > 982? Answer: Yes
Is 7740 > 2273? Answer:"
