layer,head,target_index,target_token,mean_attention_toward,max_attention_toward,example_id,n_shots,prompt
0,0,2, 77,0.1359853893518448,0.752450704574585,521,0,Is 7740 > 2273? Answer:
0,0,3,40,0.06366153806447983,0.3464885950088501,521,0,Is 7740 > 2273? Answer:
0,0,5, 2,0.10982873290777206,0.7059410810470581,521,0,Is 7740 > 2273? Answer:
0,0,6,273,0.06802438199520111,0.37858110666275024,521,0,Is 7740 > 2273? Answer:
0,1,2, 77,0.13138310611248016,0.5219849944114685,521,0,Is 7740 > 2273? Answer:
0,1,3,40,0.0907306894659996,0.37925446033477783,521,0,Is 7740 > 2273? Answer:
0,1,5, 2,0.08655713498592377,0.40881645679473877,521,0,Is 7740 > 2273? Answer:
0,1,6,273,0.015083953738212585,0.10699908435344696,521,0,Is 7740 > 2273? Answer:
0,2,2, 77,0.10670582950115204,0.6220675110816956,521,0,Is 7740 > 2273? Answer:
0,2,3,40,0.05446360260248184,0.28134751319885254,521,0,Is 7740 > 2273? Answer:
0,2,5, 2,0.1409941464662552,0.6786065101623535,521,0,Is 7740 > 2273? Answer:
0,2,6,273,0.007963133975863457,0.07266940176486969,521,0,Is 7740 > 2273? Answer:
0,3,2, 77,0.17508617043495178,0.6090467572212219,521,0,Is 7740 > 2273? Answer:
0,3,3,40,0.08097819983959198,0.3832930624485016,521,0,Is 7740 > 2273? Answer:
0,3,5, 2,0.027321552857756615,0.16495154798030853,521,0,Is 7740 > 2273? Answer:
0,3,6,273,0.032048020511865616,0.27096647024154663,521,0,Is 7740 > 2273? Answer:
0,4,2, 77,0.06272045522928238,0.14792315661907196,521,0,Is 7740 > 2273? Answer:
0,4,3,40,0.05772202089428902,0.2601180076599121,521,0,Is 7740 > 2273? Answer:
0,4,5, 2,0.03583597019314766,0.10403478145599365,521,0,Is 7740 > 2273? Answer:
0,4,6,273,0.03886789083480835,0.1287916898727417,521,0,Is 7740 > 2273? Answer:
0,5,2, 77,0.018310965970158577,0.033909641206264496,521,0,Is 7740 > 2273? Answer:
0,5,3,40,0.042942244559526443,0.11059688776731491,521,0,Is 7740 > 2273? Answer:
0,5,5, 2,0.039239101111888885,0.15361693501472473,521,0,Is 7740 > 2273? Answer:
0,5,6,273,0.014802029356360435,0.04506897181272507,521,0,Is 7740 > 2273? Answer:
0,6,2, 77,0.07098648697137833,0.29652926325798035,521,0,Is 7740 > 2273? Answer:
0,6,3,40,0.019874854013323784,0.0911221131682396,521,0,Is 7740 > 2273? Answer:
0,6,5, 2,0.023829666897654533,0.1367727369070053,521,0,Is 7740 > 2273? Answer:
0,6,6,273,0.019756171852350235,0.15029288828372955,521,0,Is 7740 > 2273? Answer:
0,7,2, 77,0.09466583281755447,0.9416090846061707,521,0,Is 7740 > 2273? Answer:
0,7,3,40,0.10082223266363144,0.9991775155067444,521,0,Is 7740 > 2273? Answer:
0,7,5, 2,0.1090288758277893,0.9987485408782959,521,0,Is 7740 > 2273? Answer:
0,7,6,273,0.08471658825874329,0.847009003162384,521,0,Is 7740 > 2273? Answer:
0,8,2, 77,0.13747988641262054,0.8682817220687866,521,0,Is 7740 > 2273? Answer:
0,8,3,40,0.017042037099599838,0.07626096904277802,521,0,Is 7740 > 2273? Answer:
0,8,5, 2,0.052744586020708084,0.49539870023727417,521,0,Is 7740 > 2273? Answer:
0,8,6,273,0.024529103189706802,0.13643606007099152,521,0,Is 7740 > 2273? Answer:
0,9,2, 77,0.18299856781959534,0.7436390519142151,521,0,Is 7740 > 2273? Answer:
0,9,3,40,0.11552536487579346,0.6067901253700256,521,0,Is 7740 > 2273? Answer:
0,9,5, 2,0.032137129455804825,0.2005871683359146,521,0,Is 7740 > 2273? Answer:
0,9,6,273,0.018872512504458427,0.10807022452354431,521,0,Is 7740 > 2273? Answer:
0,10,2, 77,0.04811067134141922,0.08755847066640854,521,0,Is 7740 > 2273? Answer:
0,10,3,40,0.04838159680366516,0.18006493151187897,521,0,Is 7740 > 2273? Answer:
0,10,5, 2,0.02727487124502659,0.09735465049743652,521,0,Is 7740 > 2273? Answer:
0,10,6,273,0.01729617454111576,0.05776709318161011,521,0,Is 7740 > 2273? Answer:
0,11,2, 77,0.10812227427959442,0.8003621697425842,521,0,Is 7740 > 2273? Answer:
0,11,3,40,0.04183632880449295,0.1483794003725052,521,0,Is 7740 > 2273? Answer:
0,11,5, 2,0.10196904838085175,0.4123208820819855,521,0,Is 7740 > 2273? Answer:
0,11,6,273,0.007389910519123077,0.05166694149374962,521,0,Is 7740 > 2273? Answer:
1,0,2, 77,0.07425020635128021,0.37718725204467773,521,0,Is 7740 > 2273? Answer:
1,0,3,40,0.07874222844839096,0.4441170394420624,521,0,Is 7740 > 2273? Answer:
1,0,5, 2,0.060921721160411835,0.36801576614379883,521,0,Is 7740 > 2273? Answer:
1,0,6,273,0.061104096472263336,0.2722691595554352,521,0,Is 7740 > 2273? Answer:
1,1,2, 77,0.1023472398519516,0.9584226012229919,521,0,Is 7740 > 2273? Answer:
1,1,3,40,0.0284152589738369,0.2760480046272278,521,0,Is 7740 > 2273? Answer:
1,1,5, 2,0.09954680502414703,0.9677112698554993,521,0,Is 7740 > 2273? Answer:
1,1,6,273,0.03584832698106766,0.3031981289386749,521,0,Is 7740 > 2273? Answer:
1,2,2, 77,0.10926610231399536,0.2643160820007324,521,0,Is 7740 > 2273? Answer:
1,2,3,40,0.037841565907001495,0.09229215979576111,521,0,Is 7740 > 2273? Answer:
1,2,5, 2,0.11083149909973145,0.32566216588020325,521,0,Is 7740 > 2273? Answer:
1,2,6,273,0.009801729582250118,0.03815315663814545,521,0,Is 7740 > 2273? Answer:
1,3,2, 77,0.19443540275096893,0.9118202924728394,521,0,Is 7740 > 2273? Answer:
1,3,3,40,0.034895990043878555,0.12590381503105164,521,0,Is 7740 > 2273? Answer:
1,3,5, 2,0.01478445716202259,0.06966383010149002,521,0,Is 7740 > 2273? Answer:
1,3,6,273,0.06789205223321915,0.5030332803726196,521,0,Is 7740 > 2273? Answer:
1,4,2, 77,0.08485164493322372,0.8432832956314087,521,0,Is 7740 > 2273? Answer:
1,4,3,40,0.000733427528757602,0.006040048319846392,521,0,Is 7740 > 2273? Answer:
1,4,5, 2,0.033589400351047516,0.3350234627723694,521,0,Is 7740 > 2273? Answer:
1,4,6,273,0.09973492473363876,0.9812527298927307,521,0,Is 7740 > 2273? Answer:
1,5,2, 77,0.06804589182138443,0.12282557785511017,521,0,Is 7740 > 2273? Answer:
1,5,3,40,0.022429730743169785,0.07530144602060318,521,0,Is 7740 > 2273? Answer:
1,5,5, 2,0.03358867019414902,0.07740219682455063,521,0,Is 7740 > 2273? Answer:
1,5,6,273,0.06539634615182877,0.30605220794677734,521,0,Is 7740 > 2273? Answer:
1,6,2, 77,0.11255328357219696,0.3853836953639984,521,0,Is 7740 > 2273? Answer:
1,6,3,40,0.12230245769023895,0.3127898871898651,521,0,Is 7740 > 2273? Answer:
1,6,5, 2,0.11651043593883514,0.5392530560493469,521,0,Is 7740 > 2273? Answer:
1,6,6,273,0.09273858368396759,0.3602715730667114,521,0,Is 7740 > 2273? Answer:
1,7,2, 77,0.06272619217634201,0.17779865860939026,521,0,Is 7740 > 2273? Answer:
1,7,3,40,0.04853592813014984,0.13605307042598724,521,0,Is 7740 > 2273? Answer:
1,7,5, 2,0.03332866355776787,0.11103209108114243,521,0,Is 7740 > 2273? Answer:
1,7,6,273,0.053174667060375214,0.18359805643558502,521,0,Is 7740 > 2273? Answer:
1,8,2, 77,0.10045792162418365,0.9181687235832214,521,0,Is 7740 > 2273? Answer:
1,8,3,40,0.010029713623225689,0.08983262628316879,521,0,Is 7740 > 2273? Answer:
1,8,5, 2,0.049539126455783844,0.49345269799232483,521,0,Is 7740 > 2273? Answer:
1,8,6,273,0.08872173726558685,0.8742181062698364,521,0,Is 7740 > 2273? Answer:
1,9,2, 77,0.19944298267364502,0.6617422103881836,521,0,Is 7740 > 2273? Answer:
1,9,3,40,0.1260618269443512,0.303403377532959,521,0,Is 7740 > 2273? Answer:
1,9,5, 2,0.10107357800006866,0.32816043496131897,521,0,Is 7740 > 2273? Answer:
1,9,6,273,0.07093177735805511,0.2705523669719696,521,0,Is 7740 > 2273? Answer:
1,10,2, 77,0.13013838231563568,0.48614466190338135,521,0,Is 7740 > 2273? Answer:
1,10,3,40,0.10404971987009048,0.27187401056289673,521,0,Is 7740 > 2273? Answer:
1,10,5, 2,0.016153136268258095,0.12577024102210999,521,0,Is 7740 > 2273? Answer:
1,10,6,273,0.07850246131420135,0.4571492373943329,521,0,Is 7740 > 2273? Answer:
1,11,2, 77,0.16886946558952332,0.6824588179588318,521,0,Is 7740 > 2273? Answer:
1,11,3,40,0.0499957874417305,0.3516044318675995,521,0,Is 7740 > 2273? Answer:
1,11,5, 2,0.08558334410190582,0.5444989204406738,521,0,Is 7740 > 2273? Answer:
1,11,6,273,0.026819968596100807,0.11295344680547714,521,0,Is 7740 > 2273? Answer:
2,0,2, 77,0.07800006866455078,0.26094508171081543,521,0,Is 7740 > 2273? Answer:
2,0,3,40,0.02949731983244419,0.08148419111967087,521,0,Is 7740 > 2273? Answer:
2,0,5, 2,0.02882210537791252,0.09704490005970001,521,0,Is 7740 > 2273? Answer:
2,0,6,273,0.01566716842353344,0.06877393275499344,521,0,Is 7740 > 2273? Answer:
2,1,2, 77,0.07676488161087036,0.3409426808357239,521,0,Is 7740 > 2273? Answer:
2,1,3,40,0.07202188670635223,0.27596044540405273,521,0,Is 7740 > 2273? Answer:
2,1,5, 2,0.06518182903528214,0.2745508551597595,521,0,Is 7740 > 2273? Answer:
2,1,6,273,0.04243991896510124,0.22714151442050934,521,0,Is 7740 > 2273? Answer:
2,2,2, 77,0.07448221743106842,0.30429041385650635,521,0,Is 7740 > 2273? Answer:
2,2,3,40,0.05484094098210335,0.16593855619430542,521,0,Is 7740 > 2273? Answer:
2,2,5, 2,0.04420778900384903,0.16773386299610138,521,0,Is 7740 > 2273? Answer:
2,2,6,273,0.015607131645083427,0.11995108425617218,521,0,Is 7740 > 2273? Answer:
2,3,2, 77,0.1421649307012558,0.7743403315544128,521,0,Is 7740 > 2273? Answer:
2,3,3,40,0.13060490787029266,0.5070618987083435,521,0,Is 7740 > 2273? Answer:
2,3,5, 2,0.03563744202256203,0.10093095153570175,521,0,Is 7740 > 2273? Answer:
2,3,6,273,0.03290354460477829,0.18988022208213806,521,0,Is 7740 > 2273? Answer:
2,4,2, 77,0.13926203548908234,0.3360613286495209,521,0,Is 7740 > 2273? Answer:
2,4,3,40,0.07350420951843262,0.2050456702709198,521,0,Is 7740 > 2273? Answer:
2,4,5, 2,0.06356486678123474,0.20327121019363403,521,0,Is 7740 > 2273? Answer:
2,4,6,273,0.09403260797262192,0.28978461027145386,521,0,Is 7740 > 2273? Answer:
2,5,2, 77,0.024176644161343575,0.06683563441038132,521,0,Is 7740 > 2273? Answer:
2,5,3,40,0.05293481424450874,0.15733307600021362,521,0,Is 7740 > 2273? Answer:
2,5,5, 2,0.02538447454571724,0.08416372537612915,521,0,Is 7740 > 2273? Answer:
2,5,6,273,0.02224050834774971,0.10154030472040176,521,0,Is 7740 > 2273? Answer:
2,6,2, 77,0.10868976265192032,0.6135059595108032,521,0,Is 7740 > 2273? Answer:
2,6,3,40,0.047676119953393936,0.2547645568847656,521,0,Is 7740 > 2273? Answer:
2,6,5, 2,0.08480694144964218,0.5265411138534546,521,0,Is 7740 > 2273? Answer:
2,6,6,273,0.050514303147792816,0.3432680070400238,521,0,Is 7740 > 2273? Answer:
2,7,2, 77,0.06045109033584595,0.13571876287460327,521,0,Is 7740 > 2273? Answer:
2,7,3,40,0.07151909917593002,0.2770046591758728,521,0,Is 7740 > 2273? Answer:
2,7,5, 2,0.04111888259649277,0.09200107306241989,521,0,Is 7740 > 2273? Answer:
2,7,6,273,0.08524830639362335,0.31812119483947754,521,0,Is 7740 > 2273? Answer:
2,8,2, 77,0.07273497432470322,0.4440222382545471,521,0,Is 7740 > 2273? Answer:
2,8,3,40,0.05181832239031792,0.3697868287563324,521,0,Is 7740 > 2273? Answer:
2,8,5, 2,0.07919736951589584,0.5140714645385742,521,0,Is 7740 > 2273? Answer:
2,8,6,273,0.05475746467709541,0.4260217249393463,521,0,Is 7740 > 2273? Answer:
2,9,2, 77,0.14769692718982697,0.5459671020507812,521,0,Is 7740 > 2273? Answer:
2,9,3,40,0.05386003851890564,0.2400873303413391,521,0,Is 7740 > 2273? Answer:
2,9,5, 2,0.08399267494678497,0.28062382340431213,521,0,Is 7740 > 2273? Answer:
2,9,6,273,0.06188667565584183,0.29666653275489807,521,0,Is 7740 > 2273? Answer:
2,10,2, 77,0.06881009042263031,0.24222828447818756,521,0,Is 7740 > 2273? Answer:
2,10,3,40,0.07533056288957596,0.20934584736824036,521,0,Is 7740 > 2273? Answer:
2,10,5, 2,0.0638308972120285,0.19806595146656036,521,0,Is 7740 > 2273? Answer:
2,10,6,273,0.05797456577420235,0.22099806368350983,521,0,Is 7740 > 2273? Answer:
2,11,2, 77,0.1111377477645874,0.562083899974823,521,0,Is 7740 > 2273? Answer:
2,11,3,40,0.10357638448476791,0.560712993144989,521,0,Is 7740 > 2273? Answer:
2,11,5, 2,0.05148119851946831,0.2444159984588623,521,0,Is 7740 > 2273? Answer:
2,11,6,273,0.028332358226180077,0.2295321822166443,521,0,Is 7740 > 2273? Answer:
3,0,2, 77,0.10170923173427582,0.9324915409088135,521,0,Is 7740 > 2273? Answer:
3,0,3,40,0.08488308638334274,0.7874848246574402,521,0,Is 7740 > 2273? Answer:
3,0,5, 2,0.0992886945605278,0.9174064993858337,521,0,Is 7740 > 2273? Answer:
3,0,6,273,0.09650889784097672,0.8734989762306213,521,0,Is 7740 > 2273? Answer:
3,1,2, 77,0.05328570678830147,0.27702435851097107,521,0,Is 7740 > 2273? Answer:
3,1,3,40,0.06257188320159912,0.3329460620880127,521,0,Is 7740 > 2273? Answer:
3,1,5, 2,0.04770665615797043,0.19975994527339935,521,0,Is 7740 > 2273? Answer:
3,1,6,273,0.1253352165222168,0.5756078362464905,521,0,Is 7740 > 2273? Answer:
3,2,2, 77,0.10192646086215973,0.7448316812515259,521,0,Is 7740 > 2273? Answer:
3,2,3,40,0.09372454881668091,0.7023297548294067,521,0,Is 7740 > 2273? Answer:
3,2,5, 2,0.08626703917980194,0.6537937521934509,521,0,Is 7740 > 2273? Answer:
3,2,6,273,0.10679411888122559,0.7209452390670776,521,0,Is 7740 > 2273? Answer:
3,3,2, 77,0.19466695189476013,0.9493515491485596,521,0,Is 7740 > 2273? Answer:
3,3,3,40,0.12225737422704697,0.6745286583900452,521,0,Is 7740 > 2273? Answer:
3,3,5, 2,0.07652433216571808,0.54932701587677,521,0,Is 7740 > 2273? Answer:
3,3,6,273,0.0462220124900341,0.33098381757736206,521,0,Is 7740 > 2273? Answer:
3,4,2, 77,0.12547597289085388,0.4424784779548645,521,0,Is 7740 > 2273? Answer:
3,4,3,40,0.056896042078733444,0.17115221917629242,521,0,Is 7740 > 2273? Answer:
3,4,5, 2,0.08082741498947144,0.31513500213623047,521,0,Is 7740 > 2273? Answer:
3,4,6,273,0.06547792255878448,0.21491847932338715,521,0,Is 7740 > 2273? Answer:
3,5,2, 77,0.09970559924840927,0.6451264023780823,521,0,Is 7740 > 2273? Answer:
3,5,3,40,0.06191563606262207,0.3430984616279602,521,0,Is 7740 > 2273? Answer:
3,5,5, 2,0.030367616564035416,0.23070137202739716,521,0,Is 7740 > 2273? Answer:
3,5,6,273,0.03079528734087944,0.28448283672332764,521,0,Is 7740 > 2273? Answer:
3,6,2, 77,0.10500983893871307,0.3625515401363373,521,0,Is 7740 > 2273? Answer:
3,6,3,40,0.05282934755086899,0.15728357434272766,521,0,Is 7740 > 2273? Answer:
3,6,5, 2,0.07193640619516373,0.27834469079971313,521,0,Is 7740 > 2273? Answer:
3,6,6,273,0.045048587024211884,0.24773846566677094,521,0,Is 7740 > 2273? Answer:
3,7,2, 77,0.07134072482585907,0.14201343059539795,521,0,Is 7740 > 2273? Answer:
3,7,3,40,0.05658299848437309,0.12923261523246765,521,0,Is 7740 > 2273? Answer:
3,7,5, 2,0.022603865712881088,0.0696253627538681,521,0,Is 7740 > 2273? Answer:
3,7,6,273,0.02180510386824608,0.08431320637464523,521,0,Is 7740 > 2273? Answer:
3,8,2, 77,0.12969768047332764,0.4036928415298462,521,0,Is 7740 > 2273? Answer:
3,8,3,40,0.08142496645450592,0.27398934960365295,521,0,Is 7740 > 2273? Answer:
3,8,5, 2,0.08879105001688004,0.2775043249130249,521,0,Is 7740 > 2273? Answer:
3,8,6,273,0.09239964187145233,0.3283463716506958,521,0,Is 7740 > 2273? Answer:
3,9,2, 77,0.08750809729099274,0.3373432755470276,521,0,Is 7740 > 2273? Answer:
3,9,3,40,0.04330829158425331,0.18973247706890106,521,0,Is 7740 > 2273? Answer:
3,9,5, 2,0.0358879454433918,0.1516164392232895,521,0,Is 7740 > 2273? Answer:
3,9,6,273,0.04872511699795723,0.33543193340301514,521,0,Is 7740 > 2273? Answer:
3,10,2, 77,0.06979116052389145,0.2466927468776703,521,0,Is 7740 > 2273? Answer:
3,10,3,40,0.020525850355625153,0.039314113557338715,521,0,Is 7740 > 2273? Answer:
3,10,5, 2,0.01722659170627594,0.05130179226398468,521,0,Is 7740 > 2273? Answer:
3,10,6,273,0.022386793047189713,0.10440264642238617,521,0,Is 7740 > 2273? Answer:
3,11,2, 77,0.10976050049066544,0.18719305098056793,521,0,Is 7740 > 2273? Answer:
3,11,3,40,0.05922665074467659,0.1069958433508873,521,0,Is 7740 > 2273? Answer:
3,11,5, 2,0.04229521006345749,0.1073622852563858,521,0,Is 7740 > 2273? Answer:
3,11,6,273,0.029277056455612183,0.08541589230298996,521,0,Is 7740 > 2273? Answer:
4,0,2, 77,0.14485123753547668,0.42261794209480286,521,0,Is 7740 > 2273? Answer:
4,0,3,40,0.04703144729137421,0.10525386035442352,521,0,Is 7740 > 2273? Answer:
4,0,5, 2,0.0841984748840332,0.255655974149704,521,0,Is 7740 > 2273? Answer:
4,0,6,273,0.05165727809071541,0.20371903479099274,521,0,Is 7740 > 2273? Answer:
4,1,2, 77,0.12501689791679382,0.27237793803215027,521,0,Is 7740 > 2273? Answer:
4,1,3,40,0.09046606719493866,0.2338232398033142,521,0,Is 7740 > 2273? Answer:
4,1,5, 2,0.013341528363525867,0.041086919605731964,521,0,Is 7740 > 2273? Answer:
4,1,6,273,0.02532983385026455,0.10061907768249512,521,0,Is 7740 > 2273? Answer:
4,2,2, 77,0.08353785425424576,0.18837861716747284,521,0,Is 7740 > 2273? Answer:
4,2,3,40,0.0490165539085865,0.15687215328216553,521,0,Is 7740 > 2273? Answer:
