model_id,layer,head,alpha,direction,prompt_type,a,b,label,base_margin,steered_margin,margin_shift,flipped
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,81,14,Yes,2.125,-0.5859375,-2.7109375,1
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,3,94,No,-3.1015625,-4.0703125,-0.96875,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,35,31,Yes,3.580078125,1.3125,-2.267578125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,28,17,Yes,2.9296875,0.3203125,-2.609375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,94,13,Yes,2.2890625,-0.5703125,-2.859375,1
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,86,94,No,-4.171875,-5.0859375,-0.9140625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,69,11,Yes,2.578125,-0.0859375,-2.6640625,1
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,75,54,Yes,2.984375,0.3359375,-2.6484375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,4,3,Yes,3.134765625,0.6484375,-2.486328125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,11,27,No,-2.796875,-4.203125,-1.40625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,29,64,No,-2.6015625,-3.853515625,-1.251953125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,77,3,Yes,3.015625,0.5703125,-2.4453125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,71,25,Yes,3.21875,0.7900390625,-2.4287109375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,91,83,Yes,3.0859375,0.3984375,-2.6875,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,89,69,Yes,3.03125,0.2734375,-2.7578125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,53,28,Yes,2.9921875,0.5556640625,-2.4365234375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,57,75,No,-4.265625,-4.90625,-0.640625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,35,0,Yes,3.078125,-0.3046875,-3.3828125,1
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,97,20,Yes,3.197265625,0.6796875,-2.517578125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,89,54,Yes,2.8984375,0.359375,-2.5390625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,43,35,Yes,3.083984375,0.6875,-2.396484375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,19,27,No,-3.4296875,-4.28125,-0.8515625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,97,43,Yes,3.4296875,1.0859375,-2.34375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,13,11,Yes,3.375,0.7421875,-2.6328125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,48,12,Yes,3.0234375,0.390625,-2.6328125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,45,44,Yes,3.015625,0.1015625,-2.9140625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,77,33,Yes,3.5234375,1.2890625,-2.234375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,5,93,No,-2.9453125,-3.9453125,-1.0,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,58,68,No,-3.673828125,-4.6171875,-0.943359375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,15,48,No,-3.109375,-4.09375,-0.984375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,10,70,No,-3.3203125,-4.3671875,-1.046875,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,37,80,No,-3.2109375,-4.046875,-0.8359375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,79,46,Yes,3.0625,0.6015625,-2.4609375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,73,24,Yes,3.3125,0.8134765625,-2.4990234375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,90,8,Yes,1.2822265625,-1.2587890625,-2.541015625,1
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,5,84,No,-3.0859375,-4.0625,-0.9765625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,29,98,No,-3.236328125,-3.978515625,-0.7421875,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,37,10,Yes,3.1484375,0.5947265625,-2.5537109375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,29,12,Yes,3.267578125,0.6494140625,-2.6181640625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,48,35,Yes,2.7578125,0.234375,-2.5234375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,58,81,No,-3.1953125,-4.359375,-1.1640625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,46,20,Yes,3.587890625,1.4453125,-2.142578125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,47,45,Yes,3.228515625,0.734375,-2.494140625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,26,85,No,-3.078125,-4.09375,-1.015625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,34,89,No,-4.0,-4.3125,-0.3125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,87,82,Yes,3.404296875,0.8671875,-2.537109375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,9,77,No,-3.09375,-4.25,-1.15625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,81,21,Yes,2.71875,0.09375,-2.625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,68,93,No,-3.8125,-4.7578125,-0.9453125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,31,20,Yes,3.1640625,0.703125,-2.4609375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,59,48,Yes,3.4453125,1.1875,-2.2578125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,34,81,No,-3.265625,-4.09375,-0.828125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,88,71,Yes,2.9296875,0.078125,-2.8515625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,28,87,No,-3.4453125,-4.4921875,-1.046875,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,41,98,No,-3.3828125,-4.1875,-0.8046875,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,99,7,Yes,1.7021484375,-1.328125,-3.0302734375,1
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,29,4,Yes,-0.5703125,-2.6484375,-2.078125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,40,51,No,-3.8125,-4.59375,-0.78125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,34,8,Yes,1.5869140625,-1.1318359375,-2.71875,1
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,27,72,No,-3.640625,-4.4453125,-0.8046875,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,91,40,Yes,2.828125,0.296875,-2.53125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,27,83,No,-3.640625,-4.421875,-0.78125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,63,50,Yes,3.0,0.7109375,-2.2890625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,82,58,Yes,3.291015625,0.640625,-2.650390625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,18,33,No,-3.548828125,-4.28125,-0.732421875,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,17,31,No,-3.296875,-4.4296875,-1.1328125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,95,71,Yes,2.6328125,-0.0625,-2.6953125,1
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,68,33,Yes,3.275390625,0.9853515625,-2.2900390625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,95,74,Yes,2.453125,-0.3671875,-2.8203125,1
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,54,74,No,-2.7109375,-4.265625,-1.5546875,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,51,46,Yes,3.140625,0.6640625,-2.4765625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,28,17,Yes,2.9296875,0.3203125,-2.609375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,65,63,Yes,3.7734375,1.6875,-2.0859375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,11,96,No,-2.78125,-4.140625,-1.359375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,6,14,No,-3.0390625,-3.923828125,-0.884765625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,19,80,No,-2.6875,-3.921875,-1.234375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,20,87,No,-3.271484375,-4.4140625,-1.142578125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,54,76,No,-4.0234375,-4.59375,-0.5703125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,8,49,No,-3.232421875,-4.0078125,-0.775390625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,48,76,No,-4.1796875,-4.515625,-0.3359375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,59,67,No,-3.859375,-4.5390625,-0.6796875,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,32,70,No,-3.515625,-4.453125,-0.9375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,1,87,No,-3.6796875,-4.75,-1.0703125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,92,14,Yes,2.28125,-0.4140625,-2.6953125,1
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,87,68,Yes,2.8828125,-0.0546875,-2.9375,1
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,96,34,Yes,3.119140625,0.6025390625,-2.5166015625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,98,82,Yes,2.921875,0.1171875,-2.8046875,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,43,14,Yes,3.0,0.359375,-2.640625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,37,55,No,-3.537109375,-4.3125,-0.775390625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,20,58,No,-3.408203125,-4.2890625,-0.880859375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,0,92,No,-3.837890625,-4.734375,-0.896484375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,92,33,Yes,3.3515625,1.0078125,-2.34375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,64,97,No,-3.859375,-4.40625,-0.546875,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,22,64,No,-2.7890625,-4.125,-1.3359375,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,13,80,No,-2.6328125,-3.9609375,-1.328125,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,38,81,No,-3.3125,-4.2890625,-0.9765625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,64,77,No,-4.0703125,-4.8671875,-0.796875,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,25,19,Yes,3.296875,0.9521484375,-2.3447265625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,47,97,No,-3.953125,-4.34375,-0.390625,0
Qwen/Qwen2.5-7B,18,15,10.0,minus,clean,20,69,No,-3.216796875,-4.25,-1.033203125,0
Qwen/Qwen2.5-7B,18,15,10.0,plus,clean,81,14,Yes,2.125,3.390625,1.265625,0
Qwen/Qwen2.5-7B,18,15,10.0,plus,clean,3,94,No,-3.1015625,-0.7490234375,2.3525390625,0
