model,prompt_type,direction,alpha,layer,head,prompt,base_margin,steered_margin,margin_shift,flipped,seed,n
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 1803 > 1622? Answer:,2.7421875,2.4609375,-0.28125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 6891 > 3585? Answer:,3.01953125,2.73046875,-0.2890625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 4897 > 4346? Answer:,3.5,3.203125,-0.296875,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 1773 > 1539? Answer:,2.703125,2.421875,-0.28125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 2813 > 1170? Answer:,2.859375,2.5625,-0.296875,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 5738 > 5623? Answer:,2.984375,2.65625,-0.328125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 7621 > 6040? Answer:,2.9765625,2.6953125,-0.28125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 7457 > 6076? Answer:,2.6484375,2.34375,-0.3046875,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 5619 > 1591? Answer:,2.7421875,2.4296875,-0.3125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 8557 > 4404? Answer:,3.671875,3.40625,-0.265625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 5503 > 2670? Answer:,3.30078125,3.04296875,-0.2578125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 2642 > 2522? Answer:,2.859375,2.5703125,-0.2890625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 8034 > 5529? Answer:,3.1875,2.9140625,-0.2734375,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 4621 > 3980? Answer:,2.703125,2.3828125,-0.3203125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 5908 > 3176? Answer:,3.125,2.84375,-0.28125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 5054 > 1921? Answer:,3.83203125,3.55078125,-0.28125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 1829 > 1460? Answer:,2.484375,2.1953125,-0.2890625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 8991 > 1510? Answer:,2.671875,2.3828125,-0.2890625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 8724 > 7393? Answer:,3.15625,2.875,-0.28125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 3490 > 2573? Answer:,3.171875,2.8828125,-0.2890625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 2487 > 2128? Answer:,2.2734375,1.953125,-0.3203125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 7304 > 3235? Answer:,3.34375,3.0546875,-0.2890625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 1611 > 1594? Answer:,2.0703125,1.7578125,-0.3125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 5011 > 4583? Answer:,2.8203125,2.53125,-0.2890625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 7101 > 5749? Answer:,3.0859375,2.796875,-0.2890625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 7839 > 2331? Answer:,3.0390625,2.74609375,-0.29296875,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 4275 > 2528? Answer:,2.78125,2.5,-0.28125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 5480 > 1196? Answer:,2.92578125,2.640625,-0.28515625,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 5919 > 1759? Answer:,2.6328125,2.328125,-0.3046875,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 7690 > 5570? Answer:,2.8515625,2.578125,-0.2734375,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 9302 > 7183? Answer:,3.3828125,3.08203125,-0.30078125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 4299 > 4192? Answer:,2.828125,2.5234375,-0.3046875,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 4697 > 2204? Answer:,3.359375,3.0859375,-0.2734375,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 9149 > 4019? Answer:,2.76171875,2.48046875,-0.28125,0,42,100
Qwen/Qwen3-1.7B,clean,plus,4.0,17,1,Is 1687 > 1323? Answer:,2.109375,1.78125,-0.328125,0,42,100
