model_id,layer,head,alpha,direction,prompt_type,a,b,label,base_margin,steered_margin,margin_shift,flipped
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,81,14,Yes,1.127035140991211,-4.855205535888672,-5.982240676879883,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,3,94,No,-5.134306907653809,-4.442115783691406,0.6921911239624023,0
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,35,31,Yes,1.404794692993164,-5.093196868896484,-6.497991561889648,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,28,17,Yes,1.0963325500488281,-4.948434829711914,-6.044767379760742,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,94,13,Yes,0.8862418532371521,-4.970412254333496,-5.856654107570648,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,86,94,No,-6.474421501159668,-4.497142791748047,1.977278709411621,0
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,69,11,Yes,0.2626323103904724,-4.893686294555664,-5.1563186049461365,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,75,54,Yes,1.0727272033691406,-4.912278175354004,-5.9850053787231445,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,4,3,Yes,3.3580942153930664,-5.151706695556641,-8.509800910949707,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,11,27,No,-5.926243782043457,-4.655642509460449,1.2706012725830078,0
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,29,64,No,-5.099917411804199,-4.53858757019043,0.5613298416137695,0
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,77,3,Yes,1.2227287292480469,-4.803519248962402,-6.026247978210449,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,71,25,Yes,0.8394813537597656,-4.914519309997559,-5.754000663757324,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,91,83,Yes,0.5352612137794495,-5.0213117599487305,-5.55657297372818,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,89,69,Yes,1.185525894165039,-5.212803840637207,-6.398329734802246,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,53,28,Yes,0.6149234771728516,-4.700691223144531,-5.315614700317383,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,57,75,No,-6.399235725402832,-4.647457122802734,1.7517786026000977,0
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,35,0,Yes,2.1565418243408203,-4.454089164733887,-6.610630989074707,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,97,20,Yes,1.1587162017822266,-5.208189010620117,-6.366905212402344,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,89,54,Yes,0.6730442047119141,-4.905281066894531,-5.578325271606445,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,43,35,Yes,1.3631610870361328,-4.978610992431641,-6.341772079467773,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,19,27,No,-6.31627082824707,-4.473695755004883,1.8425750732421875,0
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,97,43,Yes,0.98809814453125,-5.127447128295898,-6.115545272827148,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,13,11,Yes,2.327058792114258,-5.278748512268066,-7.605807304382324,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,48,12,Yes,1.0746231079101562,-5.083401679992676,-6.158024787902832,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,45,44,Yes,2.2374534606933594,-5.264372825622559,-7.501826286315918,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,77,33,Yes,0.8327484130859375,-5.049943923950195,-5.882692337036133,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,5,93,No,-5.376357078552246,-4.361641883850098,1.0147151947021484,0
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,58,68,No,-6.032932281494141,-4.569818496704102,1.463113784790039,0
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,15,48,No,-5.376611709594727,-4.609274864196777,0.7673368453979492,0
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,10,70,No,-5.507631301879883,-4.548596382141113,0.9590349197387695,0
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,37,80,No,-5.929571151733398,-4.744378089904785,1.1851930618286133,0
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,79,46,Yes,0.144622802734375,-4.942375183105469,-5.086997985839844,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,73,24,Yes,0.9735260009765625,-5.150464057922363,-6.123990058898926,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,90,8,Yes,0.9344711899757385,-4.858307838439941,-5.79277902841568,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,5,84,No,-5.684309959411621,-4.276058197021484,1.4082517623901367,0
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,29,98,No,-5.621943473815918,-4.289703369140625,1.332240104675293,0
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,37,10,Yes,1.5443496704101562,-5.008654594421387,-6.553004264831543,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,29,12,Yes,1.0513668060302734,-4.962325096130371,-6.0136919021606445,1
meta-llama/Meta-Llama-3-8B-Instruct,15,4,10.0,minus,clean,48,35,Yes,0.5046061873435974,-4.887936592102051,-5.392542779445648,1
