prompt_type,direction,alpha,prompt,base_margin,steered_margin,margin_shift,flipped,layer,head,seed,n
clean,plus,5.0,Is 1803 > 1622? Answer:,2.703125,1.6015625,-1.1015625,0,24,5,42,100
clean,plus,5.0,Is 6891 > 3585? Answer:,3.07421875,2.1640625,-0.91015625,0,24,5,42,100
clean,plus,5.0,Is 4897 > 4346? Answer:,3.09765625,2.1484375,-0.94921875,0,24,5,42,100
clean,plus,5.0,Is 1773 > 1539? Answer:,3.23828125,2.4453125,-0.79296875,0,24,5,42,100
clean,plus,5.0,Is 2813 > 1170? Answer:,2.8125,1.8828125,-0.9296875,0,24,5,42,100
clean,plus,5.0,Is 5738 > 5623? Answer:,2.765625,1.8515625,-0.9140625,0,24,5,42,100
clean,plus,5.0,Is 7621 > 6040? Answer:,2.7734375,1.796875,-0.9765625,0,24,5,42,100
clean,plus,5.0,Is 7457 > 6076? Answer:,3.44921875,2.74609375,-0.703125,0,24,5,42,100
clean,plus,5.0,Is 5619 > 1591? Answer:,2.83984375,1.890625,-0.94921875,0,24,5,42,100
clean,plus,5.0,Is 8557 > 4404? Answer:,2.23828125,1.1484375,-1.08984375,0,24,5,42,100
clean,plus,5.0,Is 5503 > 2670? Answer:,2.73828125,1.796875,-0.94140625,0,24,5,42,100
clean,plus,5.0,Is 2642 > 2522? Answer:,1.6484375,0.5234375,-1.125,0,24,5,42,100
clean,plus,5.0,Is 8034 > 5529? Answer:,3.0234375,2.1328125,-0.890625,0,24,5,42,100
clean,plus,5.0,Is 4621 > 3980? Answer:,2.9296875,2.109375,-0.8203125,0,24,5,42,100
clean,plus,5.0,Is 5908 > 3176? Answer:,2.8984375,2.0625,-0.8359375,0,24,5,42,100
clean,plus,5.0,Is 5054 > 1921? Answer:,2.796875,1.890625,-0.90625,0,24,5,42,100
clean,plus,5.0,Is 1829 > 1460? Answer:,2.72265625,1.78125,-0.94140625,0,24,5,42,100
clean,plus,5.0,Is 8991 > 1510? Answer:,1.6875,0.515625,-1.171875,0,24,5,42,100
clean,plus,5.0,Is 8724 > 7393? Answer:,2.2734375,1.203125,-1.0703125,0,24,5,42,100
clean,plus,5.0,Is 3490 > 2573? Answer:,3.0390625,2.234375,-0.8046875,0,24,5,42,100
clean,plus,5.0,Is 2487 > 2128? Answer:,2.9453125,2.0625,-0.8828125,0,24,5,42,100
clean,plus,5.0,Is 7304 > 3235? Answer:,2.81640625,1.8203125,-0.99609375,0,24,5,42,100
clean,plus,5.0,Is 1611 > 1594? Answer:,2.37109375,1.2265625,-1.14453125,0,24,5,42,100
clean,plus,5.0,Is 5011 > 4583? Answer:,3.015625,2.15625,-0.859375,0,24,5,42,100
clean,plus,5.0,Is 7101 > 5749? Answer:,3.234375,2.359375,-0.875,0,24,5,42,100
clean,plus,5.0,Is 7839 > 2331? Answer:,2.8203125,1.9609375,-0.859375,0,24,5,42,100
clean,plus,5.0,Is 4275 > 2528? Answer:,2.8828125,1.90625,-0.9765625,0,24,5,42,100
clean,plus,5.0,Is 5480 > 1196? Answer:,2.1015625,1.0234375,-1.078125,0,24,5,42,100
