prompt_type,direction,alpha,prompt,base_margin,steered_margin,margin_shift,flipped,layer,head,seed,n
clean,plus,10.0,Is 1803 > 1622? Answer:,2.703125,0.1484375,-2.5546875,0,24,5,42,100
clean,plus,10.0,Is 6891 > 3585? Answer:,3.07421875,0.84375,-2.23046875,0,24,5,42,100
clean,plus,10.0,Is 4897 > 4346? Answer:,3.09765625,0.78125,-2.31640625,0,24,5,42,100
clean,plus,10.0,Is 1773 > 1539? Answer:,3.23828125,1.1484375,-2.08984375,0,24,5,42,100
clean,plus,10.0,Is 2813 > 1170? Answer:,2.8125,0.5625,-2.25,0,24,5,42,100
clean,plus,10.0,Is 5738 > 5623? Answer:,2.765625,0.609375,-2.15625,0,24,5,42,100
clean,plus,10.0,Is 7621 > 6040? Answer:,2.7734375,0.4609375,-2.3125,0,24,5,42,100
clean,plus,10.0,Is 7457 > 6076? Answer:,3.44921875,1.5859375,-1.86328125,0,24,5,42,100
clean,plus,10.0,Is 5619 > 1591? Answer:,2.83984375,0.5234375,-2.31640625,0,24,5,42,100
clean,plus,10.0,Is 8557 > 4404? Answer:,2.23828125,-0.140625,-2.37890625,1,24,5,42,100
clean,plus,10.0,Is 5503 > 2670? Answer:,2.73828125,0.53125,-2.20703125,0,24,5,42,100
clean,plus,10.0,Is 2642 > 2522? Answer:,1.6484375,-0.515625,-2.1640625,1,24,5,42,100
clean,plus,10.0,Is 8034 > 5529? Answer:,3.0234375,0.8046875,-2.21875,0,24,5,42,100
clean,plus,10.0,Is 4621 > 3980? Answer:,2.9296875,0.875,-2.0546875,0,24,5,42,100
clean,plus,10.0,Is 5908 > 3176? Answer:,2.8984375,0.8046875,-2.09375,0,24,5,42,100
clean,plus,10.0,Is 5054 > 1921? Answer:,2.796875,0.6328125,-2.1640625,0,24,5,42,100
clean,plus,10.0,Is 1829 > 1460? Answer:,2.72265625,0.4609375,-2.26171875,0,24,5,42,100
clean,plus,10.0,Is 8991 > 1510? Answer:,1.6875,-0.65625,-2.34375,1,24,5,42,100
clean,plus,10.0,Is 8724 > 7393? Answer:,2.2734375,-0.09375,-2.3671875,1,24,5,42,100
clean,plus,10.0,Is 3490 > 2573? Answer:,3.0390625,1.015625,-2.0234375,0,24,5,42,100
clean,plus,10.0,Is 2487 > 2128? Answer:,2.9453125,0.8125,-2.1328125,0,24,5,42,100
clean,plus,10.0,Is 7304 > 3235? Answer:,2.81640625,0.4765625,-2.33984375,0,24,5,42,100
clean,plus,10.0,Is 1611 > 1594? Answer:,2.37109375,-0.015625,-2.38671875,1,24,5,42,100
clean,plus,10.0,Is 5011 > 4583? Answer:,3.015625,0.9140625,-2.1015625,0,24,5,42,100
clean,plus,10.0,Is 7101 > 5749? Answer:,3.234375,1.03125,-2.203125,0,24,5,42,100
clean,plus,10.0,Is 7839 > 2331? Answer:,2.8203125,0.7265625,-2.09375,0,24,5,42,100
clean,plus,10.0,Is 4275 > 2528? Answer:,2.8828125,0.578125,-2.3046875,0,24,5,42,100
clean,plus,10.0,Is 5480 > 1196? Answer:,2.1015625,-0.203125,-2.3046875,1,24,5,42,100
clean,plus,10.0,Is 5919 > 1759? Answer:,2.2109375,-0.125,-2.3359375,1,24,5,42,100
clean,plus,10.0,Is 7690 > 5570? Answer:,3.23046875,1.1484375,-2.08203125,0,24,5,42,100
clean,plus,10.0,Is 9302 > 7183? Answer:,2.546875,0.4609375,-2.0859375,0,24,5,42,100
clean,plus,10.0,Is 4299 > 4192? Answer:,2.76953125,0.3984375,-2.37109375,0,24,5,42,100
clean,plus,10.0,Is 4697 > 2204? Answer:,2.51953125,0.0390625,-2.48046875,0,24,5,42,100
clean,plus,10.0,Is 9149 > 4019? Answer:,2.6484375,0.7734375,-1.875,0,24,5,42,100
clean,plus,10.0,Is 1687 > 1323? Answer:,2.81640625,0.609375,-2.20703125,0,24,5,42,100
clean,plus,10.0,Is 8161 > 2356? Answer:,2.2265625,-0.0546875,-2.28125,1,24,5,42,100
clean,plus,10.0,Is 5166 > 1541? Answer:,2.6484375,0.1171875,-2.53125,0,24,5,42,100
clean,plus,10.0,Is 7178 > 3939? Answer:,2.78125,0.28125,-2.5,0,24,5,42,100
